# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb 13 03:43:33 2018
#
# CONSTRAINT:  where (koi_pdisposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  )
# CONSTRAINT:  order by kepoi_name asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14230.9,4.200e+00,-4.200e+00,13.04,0.51,-5.100e-01,4304.30,1,432,5820.00,78.00,-78.00,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560,286.808470,49.316399,11.338
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.700e+00,-1.700e+00,16.10,0.81,-9.100e-01,5945.90,1,611,6440.00,76.00,-89.00,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910,292.247280,47.969521,10.463
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,4.887803076,4.6600000e-07,-4.6600000e-07,124.8130808,7.510000e-05,-7.510000e-05,0.054,0.145,-0.054,2.36255,0.00466,-0.00466,4315.8,6.100e+00,-6.100e+00,4.82,0.17,-1.800e-01,862.30,1,215,4778.00,86.00,-95.00,0.7630,0.0280,-0.0280,0.8300,0.0200,-0.0470,297.709350,48.080853,9.174
4,3861595,K00004.01,,CANDIDATE,CANDIDATE,3.849371737,2.3440000e-06,-2.3440000e-06,157.5266860,4.880000e-04,-4.880000e-04,0.915,0.020,-0.056,2.63200,0.10600,-0.10600,1298.6,1.300e+01,-1.300e+01,12.94,1.80,-4.200e+00,132.70,1,276,6244.00,126.00,-114.00,2.9920,0.4160,-0.9710,1.4820,0.1310,-0.2610,294.356540,38.947380,11.432
5,8554498,K00005.01,,CANDIDATE,CANDIDATE,4.780327581,8.5200000e-07,-8.5200000e-07,132.9740860,1.480000e-04,-1.480000e-04,0.952,0.001,-0.002,2.02530,0.01390,-0.01390,960.8,3.900e+00,-3.900e+00,7.14,0.52,-3.100e-01,380.80,1,280,5937.00,83.00,-65.00,1.7870,0.1320,-0.0760,1.1970,0.1500,-0.0530,289.739720,44.647419,11.665
7,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,3.213668926,1.0900000e-06,-1.0900000e-06,123.6118780,2.740000e-04,-2.740000e-04,0.021,0.188,-0.021,3.98235,0.00911,-0.00911,727.8,2.500e+00,-2.500e+00,4.13,0.26,-2.300e-01,346.90,1,335,5795.00,69.00,-77.00,1.5450,0.0970,-0.0870,1.0970,0.1380,-0.0690,285.615330,50.135750,12.211
10,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.600e+00,-6.600e+00,14.59,1.11,-1.110e+00,1741.50,1,384,6225.00,112.00,-137.00,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780,281.288120,42.451080,13.563
12,5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,17.855221681,3.6760000e-06,-3.6760000e-06,146.5964660,1.630000e-04,-1.630000e-04,0.075,0.106,-0.043,7.41287,0.00581,-0.00581,9065.2,1.120e+01,-1.120e+01,13.16,2.57,-6.500e-01,915.70,1,75,6823.00,61.00,-92.00,1.3670,0.2670,-0.0670,1.3860,0.0930,-0.0760,297.453740,41.010990,11.353
13,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,1.763587535,4.2000000e-08,-4.2000000e-08,120.5659254,1.990000e-05,-1.990000e-05,0.512,0.007,-0.008,3.16877,0.00290,-0.00290,4590.6,1.500e+00,-1.500e+00,21.42,6.33,-9.480e+00,4061.90,1,761,9107.00,242.00,-443.00,3.0310,0.8950,-1.3420,2.4660,0.3490,-0.8720,286.971190,46.868359,9.958
17,10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,3.234699282,1.1900000e-07,-1.1900000e-07,121.4865708,2.920000e-05,-2.920000e-05,0.079,0.003,-0.058,3.59385,0.00078,-0.00078,10558.7,4.200e+00,-4.200e+00,13.06,0.96,-9.600e-01,3003.80,1,335,5640.00,113.00,-101.00,1.2910,0.0950,-0.0950,1.0470,0.0880,-0.0640,296.837250,48.239944,13.303
