Semi-column delimated list
--------------------------------------------------------
Format     Meaning                                  Units
f          KOI number
f          New detections flag: 0, 1 or 2
f          TTV frequency                            [*10^-4 d^-1]
f          TTV frequency positive (+) uncertainty   [*10^-4 d^-1]
f          TTV frequency negative (-) uncertainty   [*10^-4 d^-1]
f          TTV period          [d]
f          Delta chi^2
f          Cumulative Chi^2 area test
f          Cumulative Chi^2 single-point test
f          Cumulative Chi^2 RMS test
f          Cumulative Chi^2 correlation test
f          TTV amplitude               [min]
f          TTV amplitude positive (+) uncertainty   [min]
f          TTV amplitude negative (-) uncertainty   [min]
f          TTV reference time          [KBJD]
f          TTV reference time positive (+) uncertainty   [d]
f          TTV reference time negative (-) uncertainty   [d]
f          Confidence
f          STD / median error ratio
Sub-list of other significant frequencies:
     If no other significant frequencies were found
           char       literal string of "--"
     If up to five other significant frequencies were identified
           f, f ....  list of frequencies (comma separated). If more than one than the list of encapsulated in square brackets "[" "]"
           char       literal "+/-"
           f          other TTV frequencies (rough) uncertainty
     If more than five other significant frequencies were identified
           (>5)       literal string
f          Stroboscopic frequency                   [*10^-4 d^-1]
f, f, ...  Comma-separated sub-list of previous references
char       Comment
  12.01      ; 0                  ;       7.29   ;      +0.21                ;      -0.26                    ;  1371;   1932                      ;      0.338         ;   -121.947         ;    249.643         ;      0.885         ;      1.162  ;     +0.050               ;     -0.042                   ;     1068.5      ;       +5.9                   ;       -6.3                       ; 1                ;  4.02        ; [16.1, 24.5, 200.7] +/-3.1          ;        459  ; 1        ; Kepler-448 b; 
  13.01      ; 0                  ;    1746.12   ;      +0.25                ;      -0.18                    ;     6;  12659                      ;      0.312         ;    -15.347         ;     46.904         ;      0.961         ;     0.1070  ;    +0.0075               ;    -0.0057                   ;    134.143      ;     +0.129                   ;     -0.094                       ; 1                ;  2.27        ; [1718.7, 1771.5] +/-2.7          ;        174  ; 1        ; Kepler-13 b; 
  41.01      ; 0                  ;     115.93   ;      +0.60                ;      -0.34                    ;    86;     48                      ;      0.215         ;     -7.584         ;      5.721         ;      0.940         ;       5.28  ;      +0.48               ;      -0.69                   ;      190.6      ;       +1.5                   ;       -1.7                       ;  0.994           ;  1.62        ;  --           ;        152  ;         ; Kepler-100 c; 
  42.01      ; 0                  ;      9.913   ;     +0.072                ;     -0.067                    ;  1009;   3246                      ;      0.165         ;    -83.669         ;    272.222         ;      0.987         ;      14.95  ;      +0.25               ;      -0.30                   ;      523.9      ;       +3.6                   ;       -3.6                       ; 1                ;  2.46        ; [19.4, 33.9, 143.2] +/-3.1          ;        428  ; 1        ; Kepler-410 A b; 
  46.01      ; 1                  ;     699.69   ;      +0.75                ;      -0.71                    ;    14;     45                      ;      0.258         ;     -2.094         ;      3.791         ;      0.973         ;       1.35  ;      +0.19               ;      -0.20                   ;     134.70      ;      +0.75                   ;      -0.72                       ; 1                ;  1.15        ;  --           ;        196  ;         ; Kepler-101 b; 
  49.01      ; 0                  ;     244.98   ;      +0.66                ;      -0.71                    ;    41;     42                      ;      0.217         ;     -2.765         ;      3.514         ;      0.950         ;       2.37  ;      +0.35               ;      -0.38                   ;      170.8      ;       +2.3                   ;       -2.0                       ;  0.997           ;  1.33        ;  --           ;        104  ;         ; ; 
  63.01      ; 1                  ;     265.79   ;      +0.31                ;      -0.29                    ;    38;    116                      ;      0.244         ;    -16.469         ;     14.878         ;      0.959         ;      0.441  ;     +0.032               ;     -0.033                   ;     160.24      ;      +0.96                   ;      -0.91                       ; 1                ;  2.27        ; 306.0 +/-3.1          ;        738  ;         ; Kepler-63 b, Active star; 
  64.01      ; 1                  ;        3.2   ;       +1.2                ;       -1.3                    ;  3087;    240                      ;      0.151         ;     -4.605         ;     14.783         ;      0.985         ;        4.4  ;       +7.1               ;       -1.7                   ;        120      ;       +172                   ;       -168                       ; 1                ;  1.26        ;  --           ;        247  ;         ; ; 
  70.01      ; 0                  ;     335.07   ;      +0.58                ;      -0.53                    ;    30;     46                      ;      0.539         ;     -3.314         ;      6.149         ;      0.749         ;       1.44  ;      +0.20               ;      -0.24                   ;      157.3      ;       +1.8                   ;       -1.8                       ;  0.995           ;  1.28        ;  --           ;        174  ;         ; Kepler-20 c; 
  70.02      ; 0                  ;     725.66   ;      +0.59                ;      -0.91                    ;    14;     14                      ;      0.456         ;     -2.296         ;      3.983         ;      0.880         ;       2.23  ;      +0.39               ;      -0.39                   ;      141.9      ;       +0.8                   ;       -1.2                       ;  0.993           ;  1.22        ;  --           ;        239  ;         ; Kepler-20 b; 
