Name,ID
K07378.01,10843431
K00117.01,10875245
K00117.02,10875245
K00117.03,10875245
K00085.01,5866724
K00085.02,5866724
K00938.01,9415172
K00938.02,9415172
K00253.01,11752906
K00116.01,8395660
K00116.02,8395660
K00116.03,8395660
K02220.01,6871071
K02220.02,6871071
K02220.03,6871071
K00564.01,6786037
K00564.02,6786037
K00941.01,9480189
K00941.02,9480189
K00581.01,8822216
K01839.01,5856571
K00993.01,1718189
K00564.01,6786037
K00564.02,6786037
K00564.01,6786037
K00564.02,6786037
K00474.01,10460984
K00474.02,10460984
K00474.03,10460984
K00070.01,6850504
K00070.02,6850504
K00070.03,6850504
K00070.04,6850504
K00339.01,10587105
K00339.02,10587105
K00408.02,5351250
K00408.01,5351250
K00408.03,5351250
K00301.01,3642289
K00723.01,10002866
K00723.02,10002866
K00834.01,5436502
K00834.02,5436502
K00834.03,5436502
K00834.04,5436502
K00567.01,7445445
K00567.02,7445445
K00929.01,9141746
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K01052.01,5956342
K01052.02,5956342
K01052.03,5956342
K00567.01,7445445
K00567.02,7445445
K00521.01,8162789
K00605.01,4832837
K00148.01,5735762
K00148.02,5735762
K00939.01,9466668
K00939.02,9466668
K00939.03,9466668
K00341.01,10878263
K02250.01,5942808
K00168.01,11512246
K00168.02,11512246
K00370.01,8494142
K00232.01,4833421
K00232.02,4833421
K00232.03,4833421
K00232.04,4833421
K00500.01,4852528
K00500.02,4852528
K00500.03,4852528
K00500.04,4852528
K00246.01,11295426
K01163.01,10468940
K00756.01,10872983
K00756.02,10872983
K00938.01,9415172
K00938.02,9415172
K00159.01,8972058
K00111.01,6678383
K00111.02,6678383
K00157.01,6541920
K00157.02,6541920
K00157.03,6541920
K00157.04,6541920
K00157.05,6541920
K00262.01,11807274
K00168.01,11512246
K00168.02,11512246
K00707.02,9458613
K00707.01,9458613
K00707.03,9458613
K00707.04,9458613
K00864.01,6849310
K00864.02,6849310
K00238.01,7219825
K00238.02,7219825
K00416.01,6508221
K00416.02,6508221
K00222.01,4249725
K00941.01,9480189
K00941.02,9480189
K00117.01,10875245
K00117.02,10875245
K00117.03,10875245
K00457.01,7440748
K00250.01,9757613
K00250.02,9757613
K00250.03,9757613
K00313.01,7419318
K00157.01,6541920
K00157.02,6541920
