# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb  6 04:36:20 2018
#
# CONSTRAINT:  where (kepler_name not null
# CONSTRAINT:  and koi_disposition like '%CONFIRMED%'
# CONSTRAINT:  and koi_count > 1
# CONSTRAINT:  )
# CONSTRAINT:  order by kepler_name asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_count:      Number of Planets
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
31,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,12.815904210,1.9450000e-05,-1.9450000e-05,122.9468200,1.190000e-03,-1.190000e-03,6.38560,0.04380,-0.04380,220.5,2.200e+00,-2.200e+00,2.26,0.15,-1.200e-01,3,5788.00,78.00,-78.00,1.4740,0.0940,-0.0790,291.385990,41.990269,11.197
32,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,6.887070730,2.2770000e-05,-2.2770000e-05,133.1779700,2.680000e-03,-2.680000e-03,4.46790,0.07570,-0.07570,68.7,2.000e+00,-2.000e+00,1.30,0.08,-7.000e-02,3,5788.00,78.00,-78.00,1.4740,0.0940,-0.0790,291.385990,41.990269,11.197
33,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,35.333193200,2.2480000e-04,-2.2480000e-04,153.9824900,4.890000e-03,-4.890000e-03,5.96600,0.12800,-0.12800,99.7,3.600e+00,-3.600e+00,1.55,0.10,-8.000e-02,3,5788.00,78.00,-78.00,1.4740,0.0940,-0.0790,291.385990,41.990269,11.197
38,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,3.487688776,1.1050000e-06,-1.1050000e-06,170.9322170,2.530000e-04,-2.530000e-04,3.83661,0.00947,-0.00947,1298.8,4.100e+00,-4.100e+00,5.64,0.83,-1.350e+00,2,5576.00,112.00,-101.00,1.5930,0.2350,-0.3820,283.255490,48.355232,13.770
39,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,6.029772410,6.2640000e-05,-6.2640000e-05,132.4816200,7.570000e-03,-7.570000e-03,3.96100,0.22900,-0.22900,54.6,5.100e+00,-5.100e+00,1.18,0.17,-2.900e-01,2,5576.00,112.00,-101.00,1.5930,0.2350,-0.3820,283.255490,48.355232,13.770
51,6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,10.854095934,4.9770000e-06,-4.9770000e-06,138.6080310,3.780000e-04,-3.780000e-04,3.77680,0.02040,-0.02040,1034.4,4.500e+00,-4.500e+00,2.99,0.33,-2.700e-01,5,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
52,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,3.696121272,2.3940000e-06,-2.3940000e-06,134.5014000,5.400000e-04,-5.400000e-04,2.46300,0.01810,-0.01810,383.4,3.300e+00,-3.300e+00,1.78,0.19,-1.600e-01,5,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
53,6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE,77.611442700,1.5360000e-04,-1.5360000e-04,164.7292000,1.680000e-03,-1.680000e-03,7.17860,0.05630,-0.05630,814.5,8.400e+00,-8.400e+00,2.59,0.29,-2.300e-01,5,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
54,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,6.098556030,2.5360000e-05,-2.5360000e-05,135.9290600,3.770000e-03,-3.770000e-03,2.98150,0.09900,-0.09900,84.4,3.800e+00,-3.800e+00,0.84,0.09,-8.000e-02,5,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
55,6850504,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE,19.577607300,1.4270000e-04,-1.4270000e-04,135.2032000,5.970000e-03,-5.970000e-03,3.38200,0.17000,-0.17000,98.1,6.000e+00,-6.000e+00,0.90,0.10,-8.000e-02,5,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
56,11904151,K00072.01,Kepler-10 b,CONFIRMED,FALSE POSITIVE,0.837491225,3.0300000e-07,-3.0300000e-07,131.5748580,2.820000e-04,-2.820000e-04,1.79600,0.01040,-0.01040,190.4,1.200e+00,-1.200e+00,1.43,0.08,-6.000e-02,2,5676.00,85.00,-68.00,1.0440,0.0570,-0.0420,285.679380,50.241299,10.961
57,11904151,K00072.02,Kepler-10 c,CONFIRMED,CANDIDATE,45.294222970,5.6000000e-05,-5.6000000e-05,138.6787250,9.870000e-04,-9.870000e-04,6.83000,0.03430,-0.03430,477.1,3.700e+00,-3.700e+00,2.26,0.12,-9.000e-02,2,5676.00,85.00,-68.00,1.0440,0.0570,-0.0420,285.679380,50.241299,10.961
