# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Feb  2 04:13:06 2018
#
# CONSTRAINT:  where (koi_disposition like '%CANDIDATE%'
# CONSTRAINT:  and koi_count > 2
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
68,10187017,K00082.06,,CANDIDATE,CANDIDATE,22.409867700,1.6510000e-04,-1.6510000e-04,147.3836600,6.460000e-03,-6.460000e-03,0.869,0.077,-0.611,2.27100,0.20300,-0.20300,69.8,6.700e+00,-6.700e+00,0.73,0.05,-3.000e-02,489.0,,,11.90,6,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
105,9579641,K00115.03,,CANDIDATE,CANDIDATE,3.435916310,4.7290000e-05,-4.7290000e-05,132.6624000,1.100000e-02,-1.100000e-02,0.624,0.037,-0.476,3.13300,0.40700,-0.40700,23.2,3.400e+00,-3.400e+00,0.55,0.08,-7.000e-02,1272.0,,,8.70,3,5779.00,104.00,-115.00,1.0870,0.1570,-0.1420,287.887330,46.276241,12.791
213,5972334,K00191.02,,CANDIDATE,CANDIDATE,2.418406841,2.4720000e-06,-2.4720000e-06,132.5055870,8.640000e-04,-8.640000e-04,0.018,0.439,-0.018,2.07440,0.03110,-0.03110,665.4,1.090e+01,-1.090e+01,2.25,0.23,-1.700e-01,1226.0,,,69.10,4,5422.00,108.00,-108.00,0.8870,0.0900,-0.0670,295.287230,41.221958,14.991
214,5972334,K00191.03,,CANDIDATE,CANDIDATE,0.708621057,1.3570000e-06,-1.3570000e-06,133.3656500,1.660000e-03,-1.660000e-03,0.033,0.468,-0.033,1.50410,0.05260,-0.05260,187.5,7.300e+00,-7.300e+00,1.20,0.12,-9.000e-02,1846.0,,,30.50,4,5422.00,108.00,-108.00,0.8870,0.0900,-0.0670,295.287230,41.221958,14.991
272,7219825,K00238.03,,CANDIDATE,CANDIDATE,362.978280000,1.5990000e-02,-1.5990000e-02,256.5011000,2.580000e-02,-2.580000e-02,0.055,0.409,-0.055,14.08300,0.74400,-0.74400,260.6,2.050e+01,-2.050e+01,1.96,0.33,-2.900e-01,296.0,,,13.00,3,6086.00,133.00,-133.00,1.2160,0.1990,-0.1790,296.998630,42.781960,14.061
304,7021681,K00255.02,,CANDIDATE,CANDIDATE,13.603208100,1.8320000e-04,-1.8320000e-04,140.3975000,1.130000e-02,-1.130000e-02,0.777,0.178,-0.562,2.59200,0.36200,-0.36200,180.5,2.480e+01,-2.480e+01,0.75,0.05,-6.000e-02,397.0,,,9.40,3,3780.00,76.00,-83.00,0.5110,0.0360,-0.0430,287.858120,42.542629,15.108
395,8008067,K00316.03,,CANDIDATE,CANDIDATE,7.305706326,8.1910000e-06,-8.1910000e-06,131.7790500,9.450000e-04,-9.450000e-04,0.826,0.069,-0.575,1.42280,0.02840,-0.02840,264.9,6.900e+00,-6.900e+00,2.11,0.33,-2.500e-01,972.0,,,43.60,3,5620.00,100.00,-112.00,1.1430,0.1740,-0.1390,282.391940,43.889351,12.701
428,10587105,K00339.03,,CANDIDATE,CANDIDATE,35.865648400,3.4210000e-04,-3.4210000e-04,135.9237400,7.930000e-03,-7.930000e-03,0.963,0.008,-0.719,8.03500,0.26800,-0.26800,250.9,9.900e+00,-9.900e+00,2.44,0.41,-3.600e-01,633.0,,,26.20,3,6078.00,121.00,-133.00,1.1890,0.1970,-0.1780,285.888370,47.880379,13.763
448,11442793,K00351.07,,CANDIDATE,CANDIDATE,124.922516000,2.8160000e-03,-2.8160000e-03,129.7295000,2.160000e-02,-2.160000e-02,0.943,0.028,-0.645,11.94200,0.45100,-0.45100,498.7,2.160e+01,-2.160e+01,3.37,0.55,-4.500e-01,407.0,,,24.40,7,5970.00,107.00,-131.00,1.2000,0.1950,-0.1600,284.433500,49.305161,13.804
451,11566064,K00353.01,,CANDIDATE,CANDIDATE,152.106043500,2.5800000e-04,-2.5800000e-04,176.5274100,1.360000e-03,-1.360000e-03,0.878,0.007,-0.009,7.45170,0.09270,-0.09270,3688.3,3.620e+01,-3.620e+01,11.58,1.98,-2.430e+00,458.0,,,116.30,3,6200.00,124.00,-124.00,1.6400,0.2810,-0.3430,295.212680,49.562180,13.374
