RA,DEC,max,min,med,avg,camera
0.6458,-42.94,2,0,1,1.095,2
0.9241,-26.07,1,0,1,0.929,1
9.843,-11.83,1,0,1,0.877,1
18.75,-25.16,2,0,1,0.981,2
21.73,-12.55,1,0,1,0.905,1
21.95,-1.535,1,0,1,0.859,1
24.05,-31.49,2,0,1,1.084,2
29.56,-4.682,1,0,1,0.881,1
40.35,-20.5,2,0,1,1.028,2
47.9,-9.823,1,0,1,0.946,1
51.24,-44.55,2,0,2,1.729,3
53.4,-32.76,2,0,1,1.326,2
61.82,-40.32,2,0,2,1.706,3
62.02,-2.932,1,0,1,0.924,1
86.58,-7.204,2,0,1,0.983,2
86.91,-52.64,8,6,6,6.282,4
87.76,-62.46,13,12,12,12.017,4
93.55,-44.1,3,2,2,2.323,3
97.51,-53.88,8,6,8,7.644,4
104.6,-54.1,7,5,6,5.85,4
107.8,-30.23,2,0,1,1.39,2
114.4,-52.61,3,2,3,2.904,3
119.6,-18.39,2,0,1,1.084,2
136.3,-3.374,1,0,1,0.899,1
138.8,-22.95,2,0,1,1.063,2
142.1,-15.64,1,0,1,0.965,1
143.5,-30.79,2,0,1,1.155,2
144.6,-56.13,2,0,2,1.922,3
156.1,-16.49,1,0,1,0.931,1
162.7,-35.85,2,0,1,1.102,2
163.3,-33.02,2,0,1,1.06,2
186.8,-24.29,1,0,1,0.901,1
187.3,-29.27,1,0,1,0.927,1
194.4,-11.35,0,0,0,0,nan
201.4,-26.84,1,0,1,0.886,1
204.6,-28.93,1,0,1,0.846,1
220.6,-24.34,1,0,1,0.854,1
241.2,-13.64,0,0,0,0,nan
251.1,-29.05,1,0,1,0.849,1
255.5,-6.092,0,0,0,0,nan
256.5,-61.65,2,0,1,1.091,2
268,-7.548,0,0,0,0,nan
274.5,-50.43,1,0,1,0.95,1
290.1,-46.84,1,0,1,0.931,1
304.2,-8.443,0,0,0,0,nan
316.9,-18.05,0,0,0,0,nan
321.6,-18,0,0,0,0,nan
321.9,-0.7178,0,0,0,0,nan
331.5,-6.011,0,0,0,0,nan
335.2,-20.33,1,0,1,0.857,1
348.4,-15.07,1,0,1,0.857,1
349.7,-18.76,1,0,1,0.87,1
356.3,-45.51,2,0,1,1.106,2
357.1,-35.09,2,0,1,0.984,2
358,-28.41,1,0,1,0.936,1
