RA,DEC,max,min,med,avg,camera
0.6458,-42.94,2,0,1,1.095,2
0.6458,-42.94,2,0,1,1.095,2
0.6458,-42.94,2,0,1,1.095,2
0.9241,-26.07,1,0,1,0.929,1
0.9241,-26.07,1,0,1,0.929,1
8.071,-77.19,3,1,2,1.759,3
8.071,-77.19,3,1,2,1.759,3
12.97,-58.3,2,0,2,1.532,3
12.97,-58.3,2,0,2,1.532,3
12.97,58.3,0,0,0,0,nan
15.93,-75.9,3,2,2,2.215,3
15.93,-75.9,3,2,2,2.215,3
15.93,-75.9,3,2,2,2.215,3
16.85,-45.03,2,0,1,1.251,2
18.75,-25.16,2,0,1,0.981,2
18.75,-25.16,2,0,1,0.981,2
24.05,-31.49,2,0,1,1.084,2
29.56,-4.682,1,0,1,0.881,1
33.21,-44.67,4,0,1,1.533,2
33.21,-44.67,4,0,1,1.533,2
33.21,44.67,0,0,0,0,nan
36.28,-45.72,2,0,2,1.506,3
36.28,-45.72,2,0,2,1.506,3
36.28,-45.72,2,0,2,1.506,3
36.28,-45.72,2,0,2,1.506,3
38.15,-6.366,1,0,1,0.906,1
38.15,-6.366,1,0,1,0.906,1
39.8,-69.11,3,2,3,2.87,3
39.8,-69.11,3,2,3,2.87,3
41.12,-71.28,4,2,3,3.044,3
41.12,-71.28,4,2,3,3.044,3
41.99,-39.89,3,0,1,1.512,2
41.99,-39.89,3,0,1,1.512,2
41.99,-39.89,3,0,1,1.512,2
41.99,-39.89,3,0,1,1.512,2
42.3,-53.66,2,1,2,1.78,3
42.3,-53.66,2,1,2,1.78,3
46.66,-61.4,3,2,3,2.753,3
46.66,-61.4,3,2,3,2.753,3
46.66,-61.4,3,2,3,2.753,3
46.76,-26.17,2,0,0,0.623,2
46.76,-26.17,2,0,0,0.623,2
47.9,-9.823,1,0,1,0.946,1
47.9,-9.823,1,0,1,0.946,1
51.24,-44.55,2,0,2,1.729,3
51.24,-44.55,2,0,2,1.729,3
52.17,-85.44,3,2,3,2.64,3
52.17,-85.44,3,2,3,2.64,3
