RA,DEC,max,min,med,avg,camera
0.9241,-26.07,1,0,1,0.929,1
0.9241,-26.07,1,0,1,0.929,1
9.843,-11.83,1,0,1,0.877,1
9.843,-11.83,1,0,1,0.877,1
10.55,-27.3,1,0,1,0.966,1
10.55,-27.3,1,0,1,0.966,1
11.91,-67.75,2,0,2,1.838,3
11.91,-67.75,2,0,2,1.838,3
-12.97,-58.3,2,0,1,1.257,2
-12.97,-58.3,2,0,1,1.257,2
-17.91,-77.06,2,0,2,1.742,3
-17.91,-77.06,2,0,2,1.742,3
18.18,-34.03,2,0,1,1.082,2
18.18,-34.03,2,0,1,1.082,2
21.73,-12.55,1,0,1,0.905,1
21.73,-12.55,1,0,1,0.905,1
31.89,-25.78,2,0,1,1.052,2
31.89,-25.78,2,0,1,1.052,2
-33.21,-44.67,2,0,1,1.11,1
-33.21,-44.67,2,0,1,1.11,1
-38.15,-6.366,0,0,0,0,nan
-38.15,-6.366,0,0,0,0,nan
40.35,-20.5,2,0,1,1.028,2
40.35,-20.5,2,0,1,1.028,2
40.64,-44.54,2,0,2,1.535,3
40.64,-44.54,2,0,2,1.535,3
46.66,-61.4,3,2,3,2.753,3
46.66,-61.4,3,2,3,2.753,3
46.76,-26.17,2,0,0,0.623,2
46.76,-26.17,2,0,0,0.623,2
47.9,-9.823,1,0,1,0.946,1
47.9,-9.823,1,0,1,0.946,1
49.09,-49.32,2,0,2,1.935,3
49.09,-49.32,2,0,2,1.935,3
-51.52,-9.226,0,0,0,0,nan
-51.52,-9.226,0,0,0,0,nan
52.17,-85.44,3,2,3,2.64,3
52.17,-85.44,3,2,3,2.64,3
52.25,-32.1,2,0,1,1.3,2
52.25,-32.1,2,0,1,1.3,2
-52.41,-27.67,1,0,1,0.855,1
-52.41,-27.67,1,0,1,0.855,1
-52.41,-27.67,1,0,1,0.855,1
-52.41,-27.67,1,0,1,0.855,1
-52.41,-27.67,1,0,1,0.855,1
52.43,-22.09,2,0,1,1.106,2
52.43,-22.09,2,0,1,1.106,2
54.98,-42.39,2,0,2,1.694,3
54.98,-42.39,2,0,2,1.694,3
-56.39,-51.03,2,0,1,0.98,2
-56.39,-51.03,2,0,1,0.98,2
56.72,-48.68,3,0,2,1.725,3
56.72,-48.68,3,0,2,1.725,3
58.68,-36.95,2,0,2,1.513,3
58.68,-36.95,2,0,2,1.513,3
59.04,-63.71,8,6,8,7.681,4
59.04,-63.71,8,6,8,7.681,4
-59.77,-10.83,0,0,0,0,nan
-59.77,-10.83,0,0,0,0,nan
62.02,-2.932,1,0,1,0.924,1
62.02,-2.932,1,0,1,0.924,1
63.02,-38.98,2,0,2,1.656,3
63.02,-38.98,2,0,2,1.656,3
63.02,-38.98,2,0,2,1.656,3
63.13,-59.83,8,6,7,6.742,4
63.13,-59.83,8,6,7,6.742,4
64.31,-70.39,13,12,13,12.591,4
64.31,-70.39,13,12,13,12.591,4
67.29,-46.78,3,2,2,2.265,3
67.29,-46.78,3,2,2,2.265,3
67.78,-66.43,13,12,13,12.531,4
67.78,-66.43,13,12,13,12.531,4
69.6,-69.11,13,12,12,12.487,4
69.6,-69.11,13,12,12,12.487,4
69.69,-67.74,13,12,12,12.48,4
69.69,-67.74,13,12,12,12.48,4
69.92,-58.61,12,10,11,11.335,4
69.92,-58.61,12,10,11,11.335,4
70.71,-71.79,13,12,13,12.517,4
70.71,-71.79,13,12,13,12.517,4
71.88,-57.14,10,8,9,9.01,4
71.88,-57.14,10,8,9,9.01,4
73.1,-61.7,13,12,13,12.528,4
73.1,-61.7,13,12,13,12.528,4
-73.92,-0.06869,0,0,0,0,nan
-73.92,-0.06869,0,0,0,0,nan
74.19,-72.76,13,12,12,12.498,4
74.19,-72.76,13,12,12,12.498,4
75.12,-27.46,2,0,1,1.324,2
75.12,-27.46,2,0,1,1.324,2
75.8,-68.83,13,12,12,12.291,4
75.8,-68.83,13,12,12,12.291,4
76.43,-18.34,1,0,1,0.931,2
76.43,-18.34,1,0,1,0.931,2
77.79,-70.32,13,12,12,12.291,4
77.79,-70.32,13,12,12,12.291,4
77.89,-60.01,13,12,13,12.513,4
77.89,-60.01,13,12,13,12.513,4
78.22,-29.67,3,0,1,1.505,2
78.22,-29.67,3,0,1,1.505,2
78.79,-61.64,13,12,12,12.402,4
78.79,-61.64,13,12,12,12.402,4
78.94,-67.96,13,12,12,12.08,4
78.94,-67.96,13,12,12,12.08,4
79.21,-64.48,13,12,12,12.157,4
79.21,-64.48,13,12,12,12.157,4
79.36,-56.85,13,12,13,12.62,4
79.36,-56.85,13,12,13,12.62,4
80.31,-69.12,13,12,12,12.069,4
80.31,-69.12,13,12,12,12.069,4
81.65,-63.54,13,12,12,12.106,4
81.65,-63.54,13,12,12,12.106,4
82.93,-39.95,2,0,2,1.935,3
82.93,-39.95,2,0,2,1.935,3
