#RA,DEC,max,min,med,avg,camera
0.439000,45.220000,0.000000,0.000000,0.000000,0.000000,nan
0.480300,-66.200000,2.000000,0.000000,2.000000,1.594000,3.000000
0.645800,42.940000,0.000000,0.000000,0.000000,0.000000,nan
0.924100,-26.070000,1.000000,0.000000,1.000000,0.929000,1.000000
1.314000,-24.950000,1.000000,0.000000,1.000000,0.923000,1.000000
1.384000,10.610000,0.000000,0.000000,0.000000,0.000000,nan
1.783000,-71.930000,2.000000,0.000000,2.000000,1.806000,3.000000
1.789000,-9.144000,1.000000,0.000000,1.000000,0.856000,1.000000
1.948000,-17.000000,1.000000,0.000000,1.000000,0.884000,1.000000
2.172000,-15.530000,1.000000,0.000000,1.000000,0.879000,1.000000
4.071000,9.507000,0.000000,0.000000,0.000000,0.000000,nan
4.634000,-23.500000,1.000000,0.000000,1.000000,0.923000,1.000000
4.788000,78.630000,0.000000,0.000000,0.000000,0.000000,nan
5.322000,-55.550000,2.000000,0.000000,1.000000,1.358000,2.000000
5.704000,50.730000,0.000000,0.000000,0.000000,0.000000,nan
5.951000,-28.670000,1.000000,0.000000,1.000000,0.961000,1.000000
6.166000,32.450000,0.000000,0.000000,0.000000,0.000000,nan
6.521000,-4.048000,1.000000,0.000000,1.000000,0.848000,1.000000
6.662000,-79.380000,3.000000,0.000000,2.000000,1.651000,3.000000
7.592000,-79.920000,2.000000,1.000000,1.000000,1.405000,3.000000
8.071000,-77.190000,3.000000,1.000000,2.000000,1.759000,3.000000
8.396000,-53.970000,2.000000,0.000000,1.000000,1.354000,2.000000
8.919000,67.420000,0.000000,0.000000,0.000000,0.000000,nan
9.843000,-11.830000,1.000000,0.000000,1.000000,0.877000,1.000000
10.470000,-40.600000,2.000000,0.000000,1.000000,1.102000,2.000000
10.550000,-27.300000,1.000000,0.000000,1.000000,0.966000,1.000000
11.070000,-52.750000,2.000000,0.000000,1.000000,1.356000,2.000000
11.140000,29.350000,0.000000,0.000000,0.000000,0.000000,nan
11.150000,-49.040000,2.000000,0.000000,1.000000,1.277000,2.000000
11.210000,37.350000,0.000000,0.000000,0.000000,0.000000,nan
11.550000,-44.670000,2.000000,0.000000,1.000000,1.199000,2.000000
11.910000,-67.750000,2.000000,0.000000,2.000000,1.838000,3.000000
12.010000,74.530000,0.000000,0.000000,0.000000,0.000000,nan
12.090000,-51.660000,2.000000,0.000000,1.000000,1.342000,2.000000
12.260000,-60.310000,2.000000,0.000000,2.000000,1.584000,3.000000
12.320000,75.640000,0.000000,0.000000,0.000000,0.000000,nan
12.410000,-10.210000,1.000000,0.000000,1.000000,0.875000,1.000000
12.640000,-53.860000,3.000000,0.000000,1.000000,1.497000,2.000000
12.930000,-13.890000,1.000000,0.000000,0.000000,0.010000,1.000000
