RA,DEC,max,min,med,avg,camera
12.93,-13.89,1,0,0,0.01,1
21.17,-38.09,2,0,1,1.163,2
12.93,-13.89,1,0,0,0.01,1
18.75,-25.16,2,0,1,0.981,2
19.74,-4.823,1,0,1,0.868,1
12.93,-13.89,1,0,0,0.01,1
12.93,-13.89,1,0,0,0.01,1
37.29,45.73,0,0,0,0,nan
52.33,-45.37,2,0,2,1.793,3
41.99,-39.89,3,0,1,1.512,2
22.97,24.89,0,0,0,0,nan
12.93,-13.89,1,0,0,0.01,1
21.17,-38.09,2,0,1,1.163,2
12.93,-13.89,1,0,0,0.01,1
102.1,-63.34,13,12,12,12.313,4
12.93,-13.89,1,0,0,0.01,1
5.704,50.73,0,0,0,0,nan
55.57,-63.66,6,4,6,5.514,4
11.07,-52.75,2,0,1,1.356,2
12.93,-13.89,1,0,0,0.01,1
41.99,-39.89,3,0,1,1.512,2
41.99,-39.89,3,0,1,1.512,2
11.07,-52.75,2,0,1,1.356,2
12.93,-13.89,1,0,0,0.01,1
12.93,-13.89,1,0,0,0.01,1
21.71,-22.47,1,0,1,0.967,1
28.08,-13.34,1,0,1,0.923,1
12.93,-13.89,1,0,0,0.01,1
11.07,-52.75,2,0,1,1.356,2
11.07,-52.75,2,0,1,1.356,2
28.08,-13.34,1,0,1,0.923,1
157,-75.51,3,2,2,2.382,3
12.93,-13.89,1,0,0,0.01,1
12.93,-13.89,1,0,0,0.01,1
19.74,-4.823,1,0,1,0.868,1
19.74,-4.823,1,0,1,0.868,1
21.71,-22.47,1,0,1,0.967,1
11.07,-52.75,2,0,1,1.356,2
12.26,-60.31,2,0,2,1.584,3
55.57,-63.66,6,4,6,5.514,4
12.93,-13.89,1,0,0,0.01,1
12.93,-13.89,1,0,0,0.01,1
21.17,-38.09,2,0,1,1.163,2
19.74,-4.823,1,0,1,0.868,1
41.99,-39.89,3,0,1,1.512,2
19.74,-4.823,1,0,1,0.868,1
11.07,-52.75,2,0,1,1.356,2
12.93,-13.89,1,0,0,0.01,1
19.74,-4.823,1,0,1,0.868,1
19.74,-4.823,1,0,1,0.868,1
119.3,-69.17,13,12,13,12.631,4
5.704,50.73,0,0,0,0,nan
21.71,-22.47,1,0,1,0.967,1
18.75,-25.16,2,0,1,0.981,2
12.93,-13.89,1,0,0,0.01,1
76.88,50.6,0,0,0,0,nan
11.07,-52.75,2,0,1,1.356,2
52.33,-45.37,2,0,2,1.793,3
56.13,41.65,0,0,0,0,nan
51.33,-67.62,6,4,5,5.201,3
62.89,-51.33,3,2,3,2.591,3
5.704,50.73,0,0,0,0,nan
12.26,-60.31,2,0,2,1.584,3
12.93,-13.89,1,0,0,0.01,1
72.12,-69.08,13,12,12,12.424,4
72.12,-69.08,13,12,12,12.424,4
72.18,-75.66,13,12,13,12.613,4
33.21,44.67,0,0,0,0,nan
