RA,DEC,max,min,med,avg,camera
-0.439,-45.22,2,0,1,1.122,2
0.4803,-66.2,2,0,2,1.594,3
-0.6458,-42.94,2,0,1,1.089,2
0.9241,-26.07,1,0,1,0.929,1
1.314,-24.95,1,0,1,0.923,1
-1.384,-10.61,1,0,1,0.856,1
1.783,-71.93,2,0,2,1.806,3
1.789,-9.144,1,0,1,0.856,1
1.948,-17,1,0,1,0.884,1
2.172,-15.53,1,0,1,0.879,1
-4.071,-9.507,1,0,1,0.85,1
4.634,-23.5,1,0,1,0.923,1
-4.788,-78.63,2,0,2,1.883,3
5.322,-55.55,2,0,1,1.358,2
-5.704,-50.73,2,0,1,1.173,2
5.951,-28.67,1,0,1,0.961,1
-6.166,-32.45,1,0,1,0.951,1
6.521,-4.048,1,0,1,0.848,1
6.662,-79.38,3,0,2,1.651,3
7.592,-79.92,2,1,1,1.405,3
8.071,-77.19,3,1,2,1.759,3
8.396,-53.97,2,0,1,1.354,2
-8.919,-67.42,2,0,2,1.515,3
9.843,-11.83,1,0,1,0.877,1
10.47,-40.6,2,0,1,1.102,2
10.55,-27.3,1,0,1,0.966,1
11.07,-52.75,2,0,1,1.356,2
-11.14,-29.35,1,0,1,0.919,1
11.15,-49.04,2,0,1,1.277,2
-11.21,-37.35,2,0,1,1.14,1
11.55,-44.67,2,0,1,1.199,2
11.91,-67.75,2,0,2,1.838,3
-12.01,-74.53,2,0,2,1.713,3
12.09,-51.66,2,0,1,1.342,2
12.26,-60.31,2,0,2,1.584,3
-12.32,-75.64,2,0,2,1.748,3
12.41,-10.21,1,0,1,0.875,1
12.64,-53.86,3,0,1,1.497,2
12.93,-13.89,1,0,0,0.01,1
-12.97,-58.3,2,0,1,1.257,2
-13.05,-74.71,2,0,2,1.707,3
-13.41,-27.05,1,0,1,0.902,1
13.49,-57.21,2,0,2,1.507,3
13.69,-81.59,3,2,2,2.287,3
13.82,-20.21,1,0,1,0.928,1
-14.21,-79.81,2,0,2,1.882,3
-14.31,-32.41,1,0,1,0.929,1
14.81,-14.49,1,0,1,0.899,1
-15.26,-48.53,2,0,1,1.084,2
-15.93,-75.9,2,0,2,1.719,3
16.19,-65.03,2,0,2,1.826,3
16.31,-53.08,4,0,1,1.531,2
16.85,-45.03,2,0,1,1.251,2
17.16,-73.21,2,1,1,1.369,3
17.72,-16.13,1,0,1,0.915,1
17.75,-61.05,2,0,2,1.708,3
-17.91,-77.06,2,0,2,1.742,3
18.18,-34.03,2,0,1,1.082,2
18.25,-30.44,2,0,1,1.037,2
18.53,-39.8,2,0,1,1.171,2
18.75,-25.16,2,0,1,0.981,2
18.79,-21.37,1,0,1,0.95,1
19.11,-14.93,1,0,1,0.911,1
19.16,-4.038,1,0,1,0.864,1
-19.72,-21.45,1,0,1,0.868,1
19.74,-4.823,1,0,1,0.868,1
19.8,-5.749,1,0,1,0.871,1
-19.99,-21.05,1,0,1,0.866,1
20.85,-29.24,2,0,1,1.036,2
21.17,-38.09,2,0,1,1.163,2
-21.47,-43.91,2,0,1,1.001,2
21.51,-46.16,2,0,1,1.32,2
21.65,-83.95,3,2,2,2.394,3
21.71,-22.47,1,0,1,0.967,1
21.73,-12.55,1,0,1,0.905,1
21.83,-29.08,2,0,1,1.04,2
21.95,-1.535,1,0,1,0.859,1
22.36,-51.26,2,0,2,1.462,3
22.45,-74.16,3,2,2,2.33,3
22.92,-4.259,1,0,1,0.87,1
-22.97,-24.89,1,0,1,0.875,1
23.94,-57.97,2,0,2,1.72,3
23.95,-10.24,1,0,1,0.897,1
-24.05,-31.49,1,0,1,0.904,1
24.92,-69.3,3,2,2,2.229,3
-24.96,-34.16,1,0,1,0.916,1
25.17,-29.77,2,0,1,1.067,2
25.33,-17.78,1,0,1,0.944,1
25.61,-81.31,3,2,2,2.492,3
26.2,-68.7,3,2,2,2.244,3
26.39,-28.32,2,0,1,1.055,2
-26.93,-1.773,0,0,0,0,nan
-27.14,-51.17,2,0,1,1.065,2
27.19,-67.08,3,2,2,2.205,3
27.33,-36.15,2,0,1,1.179,2
27.37,-71.59,3,2,2,2.402,3
-27.43,-60.54,2,0,1,1.211,2
27.44,-1.258,1,0,1,0.866,1
27.94,-55.77,2,0,2,1.72,3
27.95,-53.5,2,0,2,1.633,3
-27.97,-0.4336,0,0,0,0,nan
28.08,-13.34,1,0,1,0.923,1
28.13,-17.11,1,0,1,0.947,1
-28.14,-23.92,1,0,1,0.865,1
28.7,-57.31,2,0,2,1.801,3
28.7,-29.36,2,0,1,1.082,2
28.77,-12.98,1,0,1,0.922,1
29.56,-4.682,1,0,1,0.881,1
30.2,-13.24,1,0,1,0.928,1
30.22,-80.99,3,2,3,2.59,3
-30.67,-66.87,2,0,1,1.323,2
31.35,-30.05,2,0,1,1.108,2
-31.46,-65.77,2,0,1,1.294,2
-31.49,-23.7,1,0,1,0.86,1
-31.5,-6.164,0,0,0,0,nan
31.86,-54.47,2,0,2,1.755,3
31.89,-25.78,2,0,1,1.052,2
31.9,-88.99,3,2,2,2.281,3
32.47,-37.91,2,0,1,1.255,2
32.62,-43.06,2,0,1,1.372,2
33.08,-16.57,1,0,1,0.958,1
-33.21,-44.67,2,0,1,1.11,1
33.31,-31.03,1,0,1,0.8,2
-33.43,-0.2077,0,0,0,0,nan
33.58,-55.93,2,0,2,1.862,3
33.93,-15.28,1,0,1,0.951,1
-34.09,-36.22,1,0,1,0.911,1
34.21,-80.04,3,2,3,2.708,3
-34.89,-39.28,1,0,1,0.927,1
36.28,-45.72,2,0,2,1.506,3
-36.46,-76.86,2,0,2,1.589,3
-36.57,-29.38,1,0,1,0.874,1
37.18,-65.76,3,2,3,2.539,3
-37.29,-45.73,2,0,1,1.045,1
-37.48,-75.54,2,0,2,1.534,3
38.04,-50.3,2,0,2,1.715,3
-38.15,-6.366,0,0,0,0,nan
-38.42,-66.88,2,0,1,1.284,2
-38.49,-46.6,2,0,1,1.117,1
-38.92,-66.66,2,0,1,1.277,2
39.02,-12.99,1,0,1,0.948,1
39.39,-49.32,2,0,2,1.701,3
39.8,-69.11,3,2,3,2.87,3
39.89,-22.92,2,0,1,1.056,2
